_id,location,mac,model,label,note,serial
ObjectID(52ead2e4301739aa42000002),M1-H3 - Phone Room,D8C7C8C98426,AP-105,MFN-FAB01,Test for Security office,BE0115751
ObjectID(52efc621c52247880c000003),Ready for use,D8C7C8C9841D,AP-105,MFN-FAB02,,BE0115742
ObjectID(52efc6bac52247880c000005),Ready for use,D8C7C8C98420,AP-105,MFN-FAB03,,BE0115745
ObjectID(52efc6d6c52247880c000007),Ready for use,D8C7C8C98428,AP-105,MFN-FAB04,,BE0115753
ObjectID(52efc6f0c52247880c000009),Ready for use,D8C7C8C9840D,AP-105,MFN-FAB05,,BE0115726
ObjectID(52efc707c52247880c00000b),Ready for use,D8C7C8C9841E,AP-105,MFN-FAB06,,BE0115743
ObjectID(52efc720c52247880c00000d),L1-B8 Server Room,D8C7C8C9842B,AP-105,MFN-FAB07,,BE0115756
ObjectID(52efc74dc52247880c00000f),Ready for use,D8C7C8C98429,AP-105,MFN-FAB08,,BE0115754
ObjectID(52efc761c52247880c000011),Ready for use,D8C7C8C98422,AP-105,MFN-FAB09,,BE0115747
ObjectID(52efc774c52247880c000013),Ready for use,D8C7C8C98427,AP-105,MFN-FAB10,,BE0115752
ObjectID(52efc787c52247880c000015),Ready for use,D8C7C8C98421,AP-105,MFN-FAB11,,BE0115746
ObjectID(52efc7a1c52247880c000017),Ready for use,D8C7C8C9841F,AP-105,MFN-FAB12,,BE0115744
ObjectID(52efc7bfc52247880c000019),Ready for use,D8C7C8C9842A,AP-105,MFN-FAB13,,BE0115755
ObjectID(52efc7dbc52247880c00001b),Ready for use,D8C7C8C98418,AP-105,MFN-FAB14,,BE0115737
ObjectID(52efc7fbc52247880c00001d),Ready for use,D8C7C8C98425,AP-105,MFN-FAB15,,BE0115750
ObjectID(52efc817c52247880c00001f),Ready for use,D8C7C8C98430,AP-105,MFN-FAB16,,BE0115761
ObjectID(52efc82dc52247880c000021),Ready for use,D8C7C8C98437,AP-105,MFN-FAB17,,BE0115768
ObjectID(52efc840c52247880c000023),Ready for use,D8C7C8C98417,AP-105,MFN-FAB18,,BE0115736
ObjectID(52efc854c52247880c000025),Ready for use,D8C7C8C981B9,AP-105,MFN-FAB19,,BE0115130
ObjectID(52efc869c52247880c000027),Ready for use,D8C7C8C98434,AP-105,MFN-FAB20,,BE0115765
ObjectID(52efc87bc52247880c000029),Ready for use,SCT11082401396,AP-105,MFN-FAB21,,D8C7C8C98412
ObjectID(52efc8e1c52247880c00002b),?,D8C7C8C9841C,AP-105,MFN-FAB22,,BE0115741
ObjectID(52efd067c52247880c00002f),M1-M9,D8C7C8C98415,AP-105,MFN-FAB23,,BE0115734
ObjectID(52efd2a2c52247880c000031),M1-N3,D8C7C8C983F6,AP-105,MFN-FAB24,,BE0115703
ObjectID(52efd3b1c52247880c000033),M1-H3,D8C7C8C983E2,AP-105,MFN-FAB25,,BE0115683
ObjectID(52efd435c52247880c000035),M1-D3,D8C7C8C98406,AP-105,MFN-FAB26,,BE0115719
ObjectID(52f169037ef0359c4a000002),L1-B8 Server Room,d8:c7:c8:c9:84:24,AP-105,MFN-FAB27,,BE0115749